09:11:25,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
09:11:25,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
09:11:12,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
09:11:12,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
09:11:13,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
09:11:13,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014/11/27/09:11:00,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014/11/27/09:11:02,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014/11/27/09:11:58,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 09:30:42,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-27 00:33:47,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 09:39:32,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:40:24,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:31:35,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:31:40,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:31:40,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:28,/newmpms/top.php,http://l505-15.is.oit.ac.jp/mpms/keyserch.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:29,/newmpms/top.php,http://l505-15.is.oit.ac.jp/mpms/keyserch.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:31,/newmpms/chart.php,http://l505-15.is.oit.ac.jp/mpms/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:32,/newmpms/top.php,http://l505-15.is.oit.ac.jp/mpms/keyserch.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:34,/newmpms/top.php,http://l505-15.is.oit.ac.jp/mpms/keyserch.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:35,/newmpms/mine.php,http://l505-15.is.oit.ac.jp/mpms/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:38:36,/newmpms/top.php,http://l505-15.is.oit.ac.jp/mpms/keyserch.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:55:06,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:55:07,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
2014-11-28 14:55:48,/newmpms/log.php,,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
